B1,B2,B3,B4,B5,B6,B7,Clase,Año,Longitude,Latitude,NDVI,NDBI,NDWI
0.078795,0.087595,0.1168275,0.1714975,0.2005375,0.259305,0.250175,1,2014,-74.02787186031527,4.693921938345531,0.0780572,0.12779918,-0.2637657
0.060755,0.074285,0.09205,0.10437,0.1238675,0.1611575,0.1673175,1,2014,-74.08338774487386,4.606336198143877,0.08542636,0.13083065,-0.1473595
0.05278,0.063725,0.084075,0.101345,0.1375075,0.181535,0.1784,1,2014,-74.07152998312348,4.621158400331849,0.15140095,0.13799888,-0.24114044
0.093975,0.10397125,0.12102125,0.1263975,0.21919625,0.27342626,0.253695,1,2014,-74.11384063300551,4.691765981663644,0.26851973,0.11008433,-0.2885654
0.06593875,0.075,0.10600625,0.1064325,0.2304575,0.21072625,0.17681874,1,2014,-74.08015380985103,4.5742663425008105,0.3681469,-0.044723436,-0.3698801
0.02715,0.05843125,0.09398875,0.110475,0.15822875,0.16905,0.15836625,1,2014,-74.11006770881221,4.5050062340951955,0.17771895,0.033064287,-0.25470084
0.076815,0.10567625,0.16337125,0.1800775,0.23065,0.275145,0.250505,1,2014,-74.123542438074,4.746742877051759,0.12312908,0.08797043,-0.17074902
0.10639125,0.13160875,0.17819375,0.21063,0.254025,0.27623126,0.23729125,1,2014,-74.13459171606867,4.540040530175856,0.093391895,0.041878328,-0.1754465
0.0732675,0.09953,0.1387725,0.1531,0.1703975,0.208045,0.1893175,1,2014,-74.19361103023532,4.604988725217698,0.05347029,0.0994801,-0.102290004
0.0675475,0.0797025,0.1028575,0.1155625,0.1432,0.1850825,0.185165,1,2014,-74.09228106618664,4.616038003212368,0.10680643,0.12758067,-0.16395555
0.0736525,0.0885025,0.1086325,0.127855,0.16388,0.187695,0.17081,1,2014,-74.11491861134645,4.581003707131707,0.123485364,0.067738004,-0.20273386
0.07192,0.09690375,0.1398175,0.16015375,0.185165,0.216405,0.209255,1,2014,-74.152108864109,4.553245764852414,0.07242948,0.077794656,-0.13953826
0.0508825,0.0588575,0.08743,0.105085,0.1873375,0.19787,0.1687475,1,2014,-74.0701825101973,4.6925744654193515,0.28127965,0.027342401,-0.3636074
0.07479375,0.08906625,0.11711625,0.13675125,0.181645,0.18885,0.1695175,1,2014,-74.16154117459226,4.597442876831094,0.14099963,0.019446941,-0.2159877
0.05848625,0.07352875,0.09759125,0.1098425,0.13485375,0.16449875,0.15624875,1,2014,-74.11384063300551,4.588280060933075,0.10221345,0.0990304,-0.16030674
0.0533025,0.0617725,0.0809675,0.0907025,0.1725975,0.1576375,0.126645,1,2014,-74.12515940558542,4.614151541115717,0.31103304,-0.045301046,-0.36136687
0.05249125,0.0606175,0.09085375,0.09238,0.22477876,0.1724325,0.12764876,1,2014,-74.1399816077734,4.664547028554822,0.41745263,-0.13178444,-0.42430675
0.076925,0.088915,0.1155625,0.127635,0.173725,0.1815625,0.1684175,1,2014,-74.10036590374372,4.680986198254209,0.15293998,0.022059612,-0.20105429
0.06948625,0.08329125,0.11482,0.12516,0.15080374,0.17981625,0.1607175,1,2014,-74.1483359399157,4.621427894917085,0.09292436,0.087751806,-0.13546884
0.05135,0.0645775,0.072195,0.0786575,0.080115,0.0846525,0.0761825,1,2014,-74.09470651745376,4.605527714388169,0.009179786,0.027538806,-0.051999193
0.06313375,0.07165875,0.09715125,0.10652875,0.2114,0.19413,0.1623675,1,2014,-74.15669027205801,4.610109122337179,0.3298577,-0.04258624,-0.3702748
